mode,img_name,dice,iou,pre,rec,hd95,cbl
shift,IMG0002470.png,0.730354,0.575243,0.821490,0.657420,7.183096,0.891224
shift,IMG0002475.png,0.710693,0.551221,0.652140,0.780797,22.868823,0.902622
shift,IMG0002484.png,0.899272,0.816979,0.889556,0.909202,3.162278,0.962295
shift,IMG0002494.png,0.724638,0.568182,0.582363,0.958904,6.708204,0.955145
shift,IMG0002500.png,0.802685,0.670404,0.741935,0.874269,5.674926,0.876584
shift,IMG0002501.png,0.849070,0.737725,0.772898,0.941896,5.000000,0.954456
shift,IMG0002502.png,0.772519,0.629353,0.881533,0.687500,5.044559,0.906048
shift,IMG0002508.png,0.813576,0.685738,0.767161,0.865969,4.277065,0.954961
shift,IMG0002515.png,0.873096,0.774775,0.841487,0.907173,5.385165,0.974240
shift,IMG0002517.png,0.789410,0.652087,0.848642,0.737908,8.564416,0.919365
shift,IMG0002518.png,0.634015,0.464145,0.518486,0.815789,9.326460,0.945232
shift,IMG0002519.png,0.645752,0.476834,0.552573,0.776730,16.138289,0.918547
shift,IMG0002522.png,0.819695,0.694477,0.794872,0.846118,9.809184,0.924602
shift,IMG0002523.png,0.618021,0.447200,0.562366,0.685902,14.194841,0.979344
shift,IMG0002533.png,0.705882,0.545455,0.618243,0.822472,9.899495,0.853629
shift,IMG0002568.png,0.863442,0.759700,0.903274,0.826975,3.000000,0.973850
shift,IMG0002577.png,0.826087,0.703704,0.739038,0.936380,5.000000,0.995428
shift,IMG0002579.png,0.864322,0.761062,0.784990,0.961491,6.000000,0.974350
shift,IMG0002582.png,0.835220,0.717063,0.857881,0.813725,4.123106,0.952793
shift,IMG0002584.png,0.653409,0.485232,0.532407,0.845588,8.924259,0.845212
shift,IMG0002594.png,0.911602,0.837563,0.906593,0.916667,2.000000,0.989178
shift,IMG0002595.png,0.810526,0.681416,0.827957,0.793814,5.915476,0.960180
shift,IMG0002745.png,0.829300,0.708380,0.776010,0.890449,4.152989,0.962897
shift,IMG0002934.png,0.874005,0.776207,0.990977,0.781732,4.000000,0.970998
shift,IMG0003146.png,0.818116,0.692214,0.923701,0.734194,23.928443,0.935094
shift,IMG0003147.png,0.721455,0.564279,0.698663,0.745785,12.319749,0.877264
shift,IMG0003157.png,0.831721,0.711921,0.721476,0.981735,3.605551,0.941355
shift,IMG0003218.png,0.889477,0.800954,0.868217,0.911805,3.162278,0.946026
shift,IMG0003264.png,0.850316,0.739609,0.790850,0.919453,4.630495,0.978410
shift,IMG0003309.png,0.673684,0.507937,0.550669,0.867470,12.432942,0.867871
shift,IMG0003395.png,0.809284,0.679661,0.699825,0.959330,3.605551,0.995780
shift,IMG0003458.png,0.775456,0.633261,0.725383,0.832955,10.580450,0.993747
shift,IMG0003586.png,0.819824,0.694663,0.729779,0.935218,6.478015,0.979778
shift,IMG0003703.png,0.720486,0.563094,0.724258,0.716753,8.520395,0.906104
shift,IMG0003713.png,0.892308,0.805556,0.840580,0.950820,1.414214,0.956660
shift,IMG0003734.png,0.723810,0.567164,0.659722,0.801688,5.830952,0.879166
shift,IMG0003767.png,0.757392,0.609518,0.715616,0.804348,9.055385,0.966359
shift,IMG0003810.png,0.711111,0.551724,0.630542,0.815287,5.000000,0.849681
shift,IMG0003942.png,0.821455,0.697007,0.784011,0.862654,5.385165,0.898978
shift,IMG0003952.png,0.695297,0.532915,0.559211,0.918919,5.000000,0.888601
shift,IMG0003953.png,0.870588,0.770833,0.867804,0.873391,3.000000,0.951850
shift,IMG0004044.png,0.793609,0.657837,0.725061,0.876471,5.830952,0.921387
shift,IMG0004114.png,0.722500,0.565558,0.638680,0.831645,23.320588,0.873646
shift,IMG0004233.png,0.470149,0.307317,1.000000,0.307317,10.317332,0.837479
shift,IMG0004376.png,0.898667,0.815981,0.951977,0.851010,2.828427,0.961055
