img,seg_status,dice,iou
IMG001303,TP,0.9117769002914429,0.8378584384918213
IMG001318,TP,0.9186207056045532,0.8494898080825806
IMG001334,TP,0.8857432007789612,0.7949183583259583
IMG001342,TP,0.7961838841438293,0.6613832712173462
IMG001364,TP,0.6951102614402771,0.532696545124054
IMG001375,TP,0.9220510721206665,0.8553754687309265
IMG001384,TP,0.8151314854621887,0.6879510283470154
IMG001385,TP,0.7796159982681274,0.6388283967971802
IMG001423,TP,0.9480935335159302,0.9013097882270813
IMG001430,TP,0.8343585133552551,0.7157934308052063
IMG001440,TP,0.8826826810836792,0.7900018095970154
IMG001448,TP,0.9309845566749573,0.8708803653717041
IMG001464,TP,0.9311851859092712,0.8712315559387207
IMG001474,TP,0.9152202606201172,0.8436922430992126
IMG001480,TP,0.939004123210907,0.8850215077400208
IMG001487,TP,0.8560401797294617,0.7483131289482117
IMG001505,TP,0.8820350766181946,0.7889649271965027
IMG001506,TP,0.9280924201011658,0.8658324480056763
IMG001526,TP,0.8714368939399719,0.7721649408340454
IMG001545,TP,0.8658028841018677,0.763361930847168
IMG001548,TP,0.8746522665023804,0.7772284150123596
IMG001549,TP,0.9025331139564514,0.822378396987915
IMG001563,TP,0.8934323787689209,0.8073906302452087
IMG001583,TP,0.9622641801834106,0.9272727370262146
IMG001600,TP,0.8850685358047485,0.7938322424888611
IMG001605,TP,0.9183191657066345,0.8489742279052734
IMG001614,TP,0.8385738730430603,0.7220208048820496
IMG001619,TP,0.7948946356773376,0.6596059203147888
IMG001651,TP,0.94976407289505,0.9043340086936951
IMG001661,TP,0.9181309342384338,0.8486525416374207
IMG001664,TP,0.9200592041015625,0.8519533276557922
IMG001687,TP,0.8672722578048706,0.7656493186950684
IMG001691,TP,0.8872986435890198,0.7974274754524231
IMG001736,TP,0.9309147000312805,0.8707581162452698
IMG001737,TP,0.8766096830368042,0.7803250551223755
IMG001751,TP,0.8791436553001404,0.7843499779701233
IMG001765,TP,0.8648417592048645,0.7618688941001892
IMG001777,TP,0.8770685791969299,0.7810526490211487
IMG001779,TP,0.820393979549408,0.6954813599586487
IMG001791,TP,0.8726945519447327,0.7741420865058899
IMG001796,TP,0.8421069979667664,0.7272753715515137
IMG001820,TP,0.7816933393478394,0.6416228413581848
IMG001831,TP,0.8656817674636841,0.7631736397743225
IMG001881,FP,0.0,0.0
IMG001922,FP,0.0,0.0
IMG002202,FP,0.0,0.0
IMG002308,FP,0.0,0.0
IMG002646,FP,0.0,0.0
IMG002951,FP,0.0,0.0
IMG003089,FP,0.0,0.0
IMG003168,FP,0.0,0.0
IMG003210,FP,0.0,0.0
IMG003277,FP,0.0,0.0
IMG003297,FP,0.0,0.0
IMG003305,FP,0.0,0.0
IMG003384,FP,0.0,0.0
IMG003393,FP,0.0,0.0
IMG003405,FP,0.0,0.0
IMG003415,FP,0.0,0.0
IMG003431,FP,0.0,0.0
IMG003442,FP,0.0,0.0
IMG003457,FP,0.0,0.0
IMG003516,FP,0.0,0.0
IMG003520,FP,0.0,0.0
IMG003551,FP,0.0,0.0
IMG003629,FP,0.0,0.0
IMG003648,FP,0.0,0.0
IMG003729,FP,0.0,0.0
IMG003730,FP,0.0,0.0
